model,annee,mise_en_circulation,kilometrage,energie,boite,nb_portes,nb_places,premiere_main,puissance,departement
240.0,2019,2019,82956,0.0,1.0,5,5,0.0,240.0,78
423.0,2022,2022,10040,2.0,2.0,5,5,1.0,95.0,31
87.0,2017,2017,78828,0.0,2.0,5,5,0.0,150.0,66
126.0,2020,2020,23022,2.0,2.0,5,5,1.0,82.0,13
221.0,2022,2022,12,2.0,1.0,5,5,0.0,150.0,81
134.0,2020,2020,2678,2.0,1.0,5,5,0.0,131.0,47
372.0,2020,2020,10640,2.0,1.0,2,4,1.0,450.0,27
267.0,2022,2022,6720,0.0,1.0,4,5,1.0,200.0,75
284.0,2020,2020,22422,2.0,1.0,5,5,1.0,122.0,78
346.0,2021,2021,16704,2.0,2.0,5,5,1.0,101.0,27
394.0,2022,2022,11,2.0,1.0,5,5,0.0,90.0,82
472.0,2022,2022,14848,2.0,1.0,5,5,1.0,150.0,69
356.0,2013,2013,89388,2.0,1.0,2,4,0.0,155.0,95
27.0,2021,2021,16783,0.0,1.0,5,5,1.0,163.0,31
40.0,2021,2021,8475,0.0,1.0,5,5,0.0,163.0,78
16.0,2019,2019,71867,0.0,1.0,5,5,1.0,116.0,24
27.0,2017,2017,85913,0.0,2.0,5,5,1.0,150.0,38
108.0,2018,2018,48391,0.0,1.0,5,5,0.0,313.0,31
137.0,2022,2022,5536,2.0,2.0,5,5,0.0,131.0,94
179.0,2018,2018,78390,2.0,2.0,5,5,0.0,120.0,69
354.0,2017,2017,100793,0.0,1.0,5,5,1.0,150.0,51
127.0,2019,2019,47270,0.0,2.0,5,5,0.0,120.0,61
386.0,2020,2020,18964,2.0,1.0,5,5,0.0,354.0,67
105.0,2017,2017,157731,0.0,1.0,5,5,0.0,190.0,94
70.0,2019,2019,62751,0.0,1.0,2,4,0.0,190.0,94
432.0,2018,2018,70448,2.0,2.0,5,5,1.0,230.0,25
454.0,2006,2006,232780,0.0,2.0,5,9,0.0,109.0,24
404.0,2019,2019,5435,0.0,2.0,4,2,0.0,90.0,61
88.0,2016,2016,68280,2.0,1.0,2,4,1.0,431.0,69
394.0,2022,2022,12,2.0,2.0,5,5,0.0,90.0,35
264.0,2008,2008,167860,0.0,1.0,5,6,0.0,224.0,24
362.0,2021,2021,19009,2.0,1.0,5,5,0.0,225.0,68
101.0,2019,2019,64767,0.0,1.0,5,5,1.0,150.0,78
314.0,2022,2022,11,1.0,1.0,5,5,0.0,150.0,34
126.0,2018,2018,33858,0.0,2.0,5,5,1.0,99.0,24
391.0,2022,2022,12,2.0,1.0,5,5,0.0,140.0,33
325.0,2021,2021,43526,0.0,1.0,5,5,0.0,122.0,72
393.0,2021,2021,10960,0.0,2.0,5,5,1.0,116.0,77
354.0,2022,2022,12,0.0,2.0,5,5,0.0,130.0,78
67.0,2016,2016,117007,2.0,2.0,5,5,0.0,109.0,95
279.0,2019,2019,17542,2.0,1.0,2,4,0.0,333.0,75
327.0,2017,2017,46643,2.0,2.0,5,5,0.0,70.0,66
56.0,2017,2018,127090,0.0,1.0,5,5,0.0,340.0,74
343.0,2021,2021,30027,0.0,1.0,5,5,1.0,130.0,33
346.0,2021,2021,17566,2.0,2.0,5,5,1.0,101.0,11
179.0,2022,2022,11,0.0,2.0,5,5,0.0,130.0,82
184.0,2020,2020,5208,2.0,2.0,5,5,1.0,86.0,35
285.0,2021,2021,30778,0.0,1.0,5,5,0.0,150.0,94
184.0,2020,2020,26522,2.0,2.0,5,5,1.0,85.0,38
343.0,2022,2022,1,2.0,1.0,5,5,1.0,130.0,42
468.0,2019,2019,94883,0.0,2.0,5,2,1.0,95.0,35
319.0,2017,2017,102369,0.0,1.0,5,5,1.0,131.0,78
191.0,2019,2019,128359,0.0,2.0,5,5,0.0,150.0,69
351.0,2020,2020,89494,2.0,2.0,5,5,0.0,131.0,62
347.0,2019,2019,45881,0.0,2.0,5,2,1.0,100.0,35
223.0,2020,2020,21160,2.0,2.0,5,5,1.0,120.0,35
372.0,2009,2009,94830,2.0,2.0,2,4,0.0,355.0,25
472.0,2022,2022,7831,0.0,1.0,5,5,0.0,150.0,1
100.0,2022,2022,11121,0.0,1.0,5,5,0.0,190.0,6
354.0,2019,2019,22519,2.0,1.0,5,5,0.0,131.0,95
471.0,2022,2022,12,2.0,1.0,5,5,0.0,110.0,69
271.0,2020,2020,47190,0.0,1.0,2,4,0.0,245.0,3
148.0,2021,2021,22885,2.0,2.0,5,5,1.0,100.0,38
386.0,2018,2018,32257,2.0,1.0,5,5,1.0,440.0,69
101.0,2020,2020,13485,0.0,1.0,5,5,0.0,116.0,17
17.0,2013,2013,66886,0.0,1.0,2,4,1.0,140.0,55
263.0,2019,2020,38520,2.0,1.0,5,5,1.0,381.0,74
169.0,2019,2019,16028,2.0,2.0,3,4,0.0,69.0,34
55.0,2010,2010,62097,2.0,1.0,2,4,0.0,333.0,76
22.0,2018,2018,45803,0.0,2.0,5,5,0.0,110.0,66
386.0,2019,2019,47775,2.0,1.0,5,5,1.0,252.0,27
161.0,2020,2020,125115,2.0,1.0,5,5,0.0,180.0,94
456.0,2021,2021,10593,2.0,1.0,5,5,1.0,150.0,62
306.0,2020,2020,18127,2.0,1.0,5,5,0.0,136.0,94
40.0,2022,2022,11977,0.0,1.0,5,5,1.0,190.0,57
322.0,2008,2008,184896,0.0,1.0,5,5,0.0,150.0,28
343.0,2022,2022,142,0.0,2.0,5,5,1.0,110.0,33
374.0,2016,2016,53663,2.0,1.0,2,4,1.0,560.0,69
38.0,2019,2019,63023,0.0,1.0,5,5,1.0,116.0,69
89.0,2020,2020,19186,2.0,1.0,2,4,0.0,450.0,83
115.0,1959,1959,28600,2.0,2.0,2,3,0.0,270.0,67
327.0,2018,2018,103704,0.0,2.0,5,5,0.0,95.0,72
276.0,2010,2010,199369,0.0,2.0,3,4,0.0,150.0,38
69.0,2022,2022,4280,0.0,1.0,5,5,1.0,150.0,59
364.0,2021,2021,10925,1.0,1.0,5,5,1.0,78.0,24
169.0,2022,2022,17424,2.0,2.0,3,4,0.0,70.0,34
69.0,2020,2020,16130,0.0,2.0,5,5,1.0,116.0,59
38.0,2020,2020,114215,0.0,1.0,5,5,1.0,150.0,69
167.0,1973,1972,25606,2.0,2.0,2,3,0.0,18.0,38
180.0,2018,2018,93644,0.0,1.0,5,5,0.0,120.0,34
474.0,2013,2013,92251,0.0,1.0,5,5,1.0,140.0,55
38.0,2021,2021,15492,2.0,2.0,5,5,0.0,116.0,24
360.0,2019,2019,89593,0.0,1.0,5,7,1.0,120.0,78
419.0,2013,2014,120640,2.0,2.0,3,4,0.0,75.0,92
405.0,2019,2019,78090,0.0,2.0,4,2,1.0,75.0,69
346.0,2021,2021,34307,2.0,2.0,5,5,0.0,101.0,47
126.0,2020,2020,3272,2.0,2.0,5,5,1.0,110.0,17
476.0,2019,2019,57213,0.0,1.0,5,7,0.0,190.0,25
372.0,2009,2009,53021,2.0,1.0,2,4,0.0,385.0,67
27.0,2020,2020,9748,0.0,1.0,5,5,1.0,136.0,57
456.0,2020,2020,42094,2.0,2.0,5,5,0.0,150.0,94
156.0,2018,2018,117270,2.0,1.0,4,3,0.0,345.0,51
456.0,2015,2015,73557,0.0,1.0,5,5,1.0,105.0,78
94.0,2021,2021,19680,0.0,1.0,5,5,0.0,190.0,76
154.0,2020,2020,31238,0.0,2.0,5,5,1.0,95.0,14
